,year,artist.inverted,track,time,genre,date.entered,date.peaked,Week,Ranking
31,2000,Eminem,The Real Slim Shady,282,Rap,2000-05-06,2000-06-24,week1,70.0
32,2000,Pink,Most Girls,246,Rock,2000-08-12,2000-11-25,week1,85.0
33,2000,"Mumba, Samantha",Gotta Tell You,199,Rock,2000-09-09,2000-12-09,week1,85.0
34,2000,Blaque,Bring It All To Me,226,Pop,1999-10-23,2000-01-22,week1,73.0
35,2000,"Elliott, Missy ""Misdemeanor""",Hot Boyz,231,Rap,1999-11-27,2000-01-08,week1,36.0
36,2000,"Gray, Macy",I Try,232,Rock,2000-02-19,2000-05-20,week1,68.0
37,2000,N'Sync,This I Promise You,263,Rock,2000-09-30,2000-12-02,week1,68.0
38,2000,Ruff Endz,No More,236,Rock,2000-07-01,2000-09-02,week1,76.0
39,2000,"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,234,Rock,2000-01-01,2000-03-18,week1,74.0
40,2000,Nine Days,Absolutely (Story Of A Girl),189,Rock,2000-05-06,2000-07-22,week1,85.0
41,2000,"Dion, Celine",That's The Way It Is,243,Rock,1999-11-13,2000-03-04,week1,74.0
42,2000,Blink-182,All The Small Things,172,Rock,1999-12-04,2000-02-19,week1,89.0
43,2000,Eiffel 65,Blue (Da Ba Dee),209,Electronica,1999-12-11,2000-01-29,week1,67.0
44,2000,"Badu, Erkyah",Bag Lady,303,Rock,2000-08-19,2000-10-07,week1,67.0
45,2000,Pink,There U Go,203,Rock,2000-03-04,2000-04-08,week1,25.0
46,2000,Creed,Higher,316,Rock,1999-09-11,2000-07-22,week1,81.0
47,2000,Nelly,(Hot S**t) Country Grammar,257,Rap,2000-04-29,2000-09-16,week1,100.0
48,2000,Next,Wifey,243,Rock,2000-05-27,2000-09-09,week1,85.0
49,2000,Kenny G,Auld Lang Syne (The Millenium Mix),470,Jazz,1999-12-25,2000-01-08,week1,89.0
50,2000,Sonique,It Feels So Good,228,Rock,2000-01-22,2000-04-22,week1,67.0
51,2000,"Spears, Britney",Oops!.. I Did It Again,210,Rock,2000-04-22,2000-06-10,week1,67.0
52,2000,"Backstreet Boys, The",Shape Of My Heart,229,Rock,2000-10-14,2000-12-02,week1,39.0
53,2000,Everclear,Wonderful,270,Rock,2000-07-08,2000-09-30,week1,77.0
54,2000,Ja Rule,Between Me And You,245,Rap,2000-09-16,2000-11-18,week1,85.0
55,2000,"Rimes, LeAnn",I Need You,222,Country,2000-05-27,2000-08-12,week1,77.0
56,2000,Smash Mouth,Then The Morning Comes,184,Rock,1999-10-30,2000-01-29,week1,83.0
57,2000,Jay-Z,I Just Wanna Love U (Give It 2 Me),230,Rap,2000-10-28,2000-12-30,week1,58.0
58,2000,Jagged Edge,Let's Get Married,263,Rock,2000-05-06,2000-07-29,week1,77.0
59,2000,Filter,Take A Picture,263,Rock,1999-11-27,2000-02-05,week1,91.0
60,2000,"Martin, Ricky",She Bangs,242,Latin,2000-10-07,2000-12-02,week1,38.0
61,2000,Mystikal,Shake Ya Ass,286,Rap,2000-08-12,2000-10-28,week1,97.0
62,2000,BBMak,Back Here,215,Rock,2000-04-29,2000-07-29,week1,99.0
63,2000,"Spears, Britney",From The Bottom Of My Broken Heart,270,Rock,2000-01-29,2000-02-26,week1,76.0
64,2000,Third Eye Blind,Never Let You Go,237,Rock,2000-01-22,2000-04-01,week1,65.0
65,2000,Red Hot Chili Peppers,Otherside,253,Rock,2000-02-12,2000-05-27,week1,80.0
66,2000,Profyle,Liar,237,R&B,2000-09-16,2000-10-28,week1,52.0
67,2000,Barenaked Ladies,Pinch Me,226,Rock,2000-09-09,2000-11-25,week1,77.0
68,2000,Jagged Edge,He Can't Love U,210,Rock,1999-12-11,2000-01-08,week1,54.0
69,2000,504 Boyz,Wobble Wobble,215,Rap,2000-04-15,2000-05-06,week1,57.0
70,2000,Sting,Desert Rose,232,Rock,2000-05-13,2000-08-26,week1,98.0
71,2000,Jay-Z,Big Pimpin',235,Rap,2000-04-22,2000-07-08,week1,69.0
72,2000,Kid Rock,Only God Knows Why,327,Rock,2000-02-19,2000-04-15,week1,63.0
73,2000,Foo Fighters,Learn To Fly,235,Rock,1999-10-16,2000-01-22,week1,80.0
74,2000,"Dixie Chicks, The",Goodbye Earl,259,Country,2000-03-18,2000-05-06,week1,40.0
75,2000,Guy,Dancin',248,R&B,1999-12-18,2000-01-01,week1,46.0
76,2000,Lil Bow Wow,Bounce With Me,202,Rap,2000-08-19,2000-09-16,week1,48.0
77,2000,Westlife,Swear It Again,247,Rock,2000-04-01,2000-07-01,week1,96.0
78,2000,Train,Meet Virginia,235,Rock,1999-10-09,2000-01-22,week1,76.0
79,2000,"Thomas, Carl",I Wish,230,Rock,2000-03-25,2000-05-13,week1,75.0
80,2000,Hanson,This Time Around,254,Country,2000-04-22,2000-05-06,week1,22.0
81,2000,"Simpson, Jessica",I Think I'm In Love With You,212,Pop,2000-07-01,2000-08-12,week1,63.0
82,2000,Ludacris,What's Your Fantasy,256,Rap,2000-09-30,2000-12-16,week1,89.0
83,2000,Lil' Zane,Callin' Me,223,Rap,2000-07-29,2000-09-02,week1,83.0
84,2000,M2M,Don't Say You Love Me,221,Pop,1999-11-20,2000-01-08,week1,72.0
85,2000,SoulDecision,Faded,205,Rock,2000-07-08,2000-09-09,week1,94.0
86,2000,"Brock, Chad",Yes!,202,Country,2000-04-08,2000-07-01,week1,90.0
87,2000,"Martin, Ricky",Shake Your Bon-Bon,188,Latin,1999-11-20,2000-02-12,week1,74.0
88,2000,Vertical Horizon,You're A God,225,Rock,2000-08-26,2000-11-04,week1,64.0
89,2000,Avant,Separated,253,Rock,2000-04-29,2000-05-20,week1,62.0
90,2000,"Rimes, LeAnn",Big Deal,183,Country,1999-10-16,2000-01-01,week1,71.0
91,2000,IMx,Stay The Night,217,Rap,1999-10-09,2000-01-08,week1,84.0
92,2000,Dr. Dre,The Next Episode,158,Rap,2000-05-27,2000-07-29,week1,78.0
93,2000,"Spears, Britney",Lucky,203,Rock,2000-08-12,2000-09-09,week1,61.0
94,2000,Savage Garden,Crash And Burn,281,Rock,2000-04-08,2000-05-27,week1,75.0
95,2000,Kandi,Don't Think I'm Not,230,Rock,2000-08-05,2000-10-07,week1,66.0
96,2000,Sammie,I Like It,249,Rock,2000-01-29,2000-04-15,week1,85.0
97,2000,Goo Goo Dolls,Broadway,234,Rock,2000-04-22,2000-07-01,week1,74.0
98,2000,"Moore, Mandy",I Wanna Be With You,252,Pop,2000-06-17,2000-08-12,week1,69.0
99,2000,Dr. Dre,Forgot About Dre,222,Rap,2000-01-22,2000-03-25,week1,75.0
100,2000,D'Angelo,Untitled (How Does It Feel),430,R&B,2000-01-22,2000-02-19,week1,77.0
101,2000,"Messina, Jo Dee",That's The Way,197,Country,2000-06-24,2000-08-26,week1,78.0
102,2000,Avant,My First Love,268,Rock,2000-11-04,2000-12-16,week1,70.0
103,2000,Son By Four,A Puro Dolor (Purest Of Pain),210,Latin,2000-04-08,2000-08-19,week1,80.0
104,2000,Da Brat,What'Chu Like,237,Rap,2000-06-03,2000-08-12,week1,71.0
105,2000,DMX,Party Up (Up In Here),225,Rap,2000-02-26,2000-04-22,week1,88.0
106,2000,"Dixie Chicks, The",Cowboy Take Me Away,291,Country,1999-11-27,2000-01-29,week1,79.0
107,2000,"McGraw, Tim",My Next Thirty Years,217,Country,2000-10-21,2000-12-16,week1,73.0
108,2000,"Tritt, Travis",Best Of Intentions,255,Country,2000-08-19,2000-12-02,week1,97.0
109,2000,Alice Deejay,Better Off Alone,410,Electronica,2000-04-08,2000-06-03,week1,79.0
110,2000,Hoku,Another Dumb Blonde,227,Pop,2000-02-19,2000-04-08,week1,69.0
111,2000,"Houston, Whitney",I Learned From The Best,258,Rock,2000-02-19,2000-03-25,week1,83.0
112,2000,Counting Crows,Hanginaround,247,Rock,1999-11-06,2000-01-29,week1,84.0
113,2000,Mary Mary,Shackles (Praise You),192,Rock,2000-03-25,2000-05-13,week1,90.0
114,2000,"Carey, Mariah",Crybaby,319,Rock,2000-06-24,2000-06-24,week1,28.0
115,2000,"McGraw, Tim",My Best Friend,273,Country,1999-11-27,2000-01-29,week1,85.0
116,2000,Sugar Ray,Falls Apart,255,Rock,2000-01-15,2000-02-19,week1,70.0
117,2000,Madonna,American Pie,270,Rock,2000-02-19,2000-03-04,week1,43.0
118,2000,"Jones, Donell",Where I Wanna Be,382,Rock,2000-04-22,2000-07-08,week1,81.0
119,2000,"Paisley, Brad",We Danced,225,Country,2000-10-14,2000-12-16,week1,71.0
120,2000,Lonestar,What About Now,210,Country,2000-06-10,2000-08-19,week1,78.0
121,2000,"Backstreet Boys, The",The One,226,Rock,2000-05-27,2000-07-01,week1,58.0
122,2000,"Keith, Toby",How Do You Like Me Now?!,209,Country,2000-01-29,2000-04-08,week1,77.0
123,2000,"Strait, George",The Best Day,204,Country,2000-01-29,2000-04-22,week1,73.0
124,2000,"Dixie Chicks, The",Without You,212,Country,2000-10-07,2000-12-23,week1,80.0
125,2000,Musiq,Just Friends (Sunny),242,Rap,2000-10-14,2000-12-30,week1,89.0
126,2000,"McEntire, Reba",What Do You Say,206,Country,1999-10-30,2000-01-29,week1,88.0
127,2000,"Braxton, Toni",Just Be A Man About It,250,Rock,2000-07-29,2000-09-02,week1,76.0
128,2000,"Iglesias, Enrique",Rhythm Divine,455,Latin,1999-12-04,2000-01-22,week1,90.0
129,2000,"Fabian, Lara",I Will Love Again,223,Pop,2000-06-10,2000-08-12,week1,91.0
130,2000,Bon Jovi,It's My Life,224,Rock,2000-08-12,2000-09-30,week1,64.0
131,2000,"Evans, Sara",Born To Fly,336,Country,2000-10-21,2000-12-30,week1,77.0
132,2000,"Chesney, Kenny",I Lost It,234,Country,2000-10-21,2000-12-23,week1,75.0
133,2000,J-Shin,One Night Stand,274,R&B,1999-12-25,2000-02-26,week1,96.0
134,2000,Eve,Love Is Blind,231,Rap,2000-01-08,2000-02-19,week1,94.0
135,2000,Aaliyah,I Don't Wanna,255,Rock,2000-01-29,2000-03-04,week1,84.0
136,2000,"Montgomery, John Michael",The Little Girl,232,Country,2000-09-09,2000-10-28,week1,81.0
137,2000,"Carter, Aaron",Aaron's Party (Come Get It),203,R&B,2000-08-26,2000-09-16,week1,99.0
138,2000,"Vassar, Phil",Just Another Day In Paradise,234,Country,2000-09-30,2000-12-02,week1,81.0
139,2000,Ice Cube,You Can Do It,260,Rap,1999-12-04,2000-01-15,week1,86.0
140,2000,"Wills, Mark",Back At One,240,Country,2000-01-15,2000-02-26,week1,89.0
141,2000,Lucy Pearl,Dance Tonight,225,R&B,2000-05-20,2000-07-29,week1,80.0
142,2000,"Jackson, Alan",It Must Be Love,173,Country,2000-06-24,2000-09-02,week1,76.0
143,2000,"Griggs, Andy",She's More,199,Country,2000-03-11,2000-06-10,week1,81.0
144,2000,No Doubt,Simple Kind Of Life,251,Rock,2000-07-01,2000-07-22,week1,50.0
145,2000,"Jean, Wyclef",911,240,Rap,2000-10-07,2000-11-25,week1,77.0
146,2000,Rascal Flatts,Prayin' For Daylight,216,Country,2000-05-06,2000-08-12,week1,87.0
147,2000,Vitamin C,Graduation (Friends Forever),263,Rock,2000-04-15,2000-06-10,week1,81.0
148,2000,"Gilman, Billy",One Voice,247,Country,2000-06-17,2000-09-02,week1,86.0
149,2000,Lonestar,Smile,213,Country,1999-12-18,2000-02-12,week1,89.0
150,2000,"Rogers, Kenny",Buy Me A Rose,226,Country,2000-03-11,2000-05-06,week1,79.0
151,2000,"Lawrence, Tracy",Lessons Learned,175,Country,2000-01-29,2000-04-08,week1,80.0
152,2000,"Strait, George",Go On,228,Country,2000-08-26,2000-10-28,week1,71.0
153,2000,Sisqo,Got To Get It,232,Rock,1999-11-20,2000-01-22,week1,92.0
154,2000,Baha Men,Who Let The Dogs Out,197,R&B,2000-07-22,2000-10-21,week1,99.0
155,2000,"Walker, Clay",The Chain Of Love,303,Country,2000-04-15,2000-06-10,week1,73.0
156,2000,"McBride, Martina",Love's The Only House,313,Country,2000-02-05,2000-04-15,week1,79.0
157,2000,Amber,Sexual (Li Da Di),278,Rock,1999-07-17,2000-02-12,week1,99.0
158,2000,"Tippin, Aaron",Kiss This,173,Country,2000-08-26,2000-10-21,week1,74.0
159,2000,SheDaisy,I Will.. But,220,Country,2000-07-15,2000-09-16,week1,78.0
160,2000,"Raye, Collin",Couldn't Last A Moment,220,Country,2000-03-18,2000-06-24,week1,91.0
161,2000,Black Rob,Whoa!,244,Rap,2000-03-04,2000-04-15,week1,78.0
162,2000,"Jackson, Alan",Pop A Top,184,Country,1999-11-13,2000-01-22,week1,79.0
163,2000,"Black, Clint",Been There,328,Country,2000-02-19,2000-04-15,week1,87.0
164,2000,Common,The Light,235,Rap,2000-08-05,2000-09-09,week1,75.0
165,2000,"Vassar, Phil",Carlene,247,Country,2000-03-04,2000-04-22,week1,75.0
166,2000,"Jackson, Alan",www.memory,156,Country,2000-11-04,2000-12-23,week1,75.0
167,2000,Vitamin C,The Itch,210,Rock,2000-12-02,2000-12-16,week1,86.0
168,2000,"Eastsidaz, The",G'D Up,267,Rap,2000-01-08,2000-02-12,week1,77.0
169,2000,Ideal,Whatever,228,R&B,2000-06-10,2000-08-19,week1,75.0
170,2000,"Thomas, Carl",Emotional,271,Rock,2000-11-25,2000-12-30,week1,77.0
171,2000,Ginuwine,None Of Ur Friends Business,252,Rock,1999-12-11,2000-01-22,week1,94.0
172,2000,"Davidson, Clay",Unconditional,236,Country,2000-03-25,2000-06-17,week1,97.0
173,2000,DMX,What You Want,245,Rap,2000-07-01,2000-09-23,week1,98.0
174,2000,"John, Elton",Someday Out Of The Blue,281,Rock,2000-04-22,2000-05-06,week1,56.0
175,2000,Pearl Jam,Nothing As It Seems,320,Rock,2000-05-13,2000-05-13,week1,49.0
176,2000,Mya,The Best Of Me,252,Rock,2000-04-15,2000-05-20,week1,85.0
177,2000,"Heatherly, Eric",Flowers On The Wall,196,Country,2000-04-29,2000-08-12,week1,95.0
178,2000,Eminem,Stan,326,Rap,2000-11-04,2000-12-02,week1,78.0
179,2000,"McEntire, Reba",I'll Be,263,Country,2000-05-13,2000-07-29,week1,89.0
180,2000,"Lopez, Jennifer",Feelin' Good,268,Latin,2000-02-19,2000-04-08,week1,79.0
181,2000,"Urban, Keith",Your Everything,250,Country,2000-07-15,2000-09-16,week1,81.0
182,2000,TLC,Dear Lie,276,Rock,2000-02-12,2000-03-04,week1,63.0
183,2000,"Gill, Vince",Feels Like Love,253,Country,2000-09-02,2000-11-18,week1,82.0
184,2000,"Houston, Whitney",Could I Have This Kiss Forever,234,Rock,2000-06-17,2000-08-05,week1,74.0
185,2000,Bloodhound Gang,The Bad Touch,260,R&B,2000-03-18,2000-04-15,week1,70.0
186,2000,"Williams, Robbie",Angels,236,Rock,1999-11-20,2000-01-22,week1,85.0
187,2000,"Messina, Jo Dee",Because You Love Me,230,Country,2000-01-29,2000-03-11,week1,83.0
188,2000,"Keith, Toby",Country Comes To Town,219,Country,2000-08-05,2000-10-14,week1,82.0
189,2000,Beenie Man,Girls Dem Sugar,257,Reggae,2000-10-21,2000-12-02,week1,72.0
190,2000,"Hill, Faith",Let's Make Love,251,Rap,2000-08-12,2000-10-21,week1,83.0
191,2000,Kelis,Caught Out There,249,R&B,1999-12-04,2000-01-08,week1,84.0
192,2000,Jay-Z,Anything,221,Rap,2000-02-26,2000-03-11,week1,72.0
193,2000,3 Doors Down,Loser,264,Rock,2000-10-21,2000-12-02,week1,76.0
194,2000,Brooks & Dunn,You'll Always Be Loved By Me,178,Country,2000-06-10,2000-09-09,week1,95.0
195,2000,"Chesney, Kenny",What I Need To Do,245,Country,2000-04-01,2000-06-10,week1,79.0
196,2000,"Stone, Angie",No More Rain (In This Cloud),282,R&B,1999-12-25,2000-01-22,week1,86.0
197,2000,Da Brat,That's What I'm Looking For,224,Rap,2000-02-26,2000-04-15,week1,93.0
198,2000,SheDaisy,This Woman Needs,200,Country,2000-02-05,2000-03-04,week1,82.0
199,2000,Papa Roach,Last Resort,199,Rock,2000-07-29,2000-12-02,week1,75.0
200,2000,"Adams, Yolanda",Open My Heart,330,Gospel,2000-08-26,2000-10-21,week1,76.0
201,2000,Shyne,Bad Boyz,262,Rap,2000-09-09,2000-10-28,week1,94.0
202,2000,R.E.M.,The Great Beyond,250,Rock,1999-12-25,2000-01-29,week1,79.0
203,2000,"Diffie, Joe",It's Always Somethin',175,Country,2000-08-12,2000-09-16,week1,81.0
204,2000,"McGraw, Tim",Some Things Never Change,236,Country,2000-05-13,2000-07-01,week1,76.0
205,2000,"Henley, Don",Taking You Home,248,Rock,2000-06-24,2000-08-05,week1,79.0
206,2000,Eminem,The Way I Am,280,Rap,2000-08-26,2000-09-30,week1,87.0
207,2000,Nas,You Owe Me,231,R&B,2000-03-25,2000-04-15,week1,74.0
208,2000,Sister Hazel,Change Your Mind,242,Rock,2000-07-15,2000-08-05,week1,75.0
209,2000,Puff Daddy,Best Friend,333,Rap,2000-02-12,2000-02-19,week1,65.0
210,2000,"McBride, Martina",There You Are,206,Country,2000-09-09,2000-10-21,week1,79.0
211,2000,Usher,Pop Ya Collar,216,Rock,2000-11-04,2000-11-18,week1,68.0
212,2000,Lil' Kim,No Matter What They Say,252,Rap,2000-07-15,2000-08-05,week1,80.0
213,2000,LFO,I Don't Wanna Kiss You Goodnight,300,Rock,2000-04-15,2000-04-22,week1,63.0
214,2000,SheDaisy,Deck The Halls,226,Country,1999-12-25,2000-01-01,week1,97.0
215,2000,Splender,I Think God Can Explain,235,R&B,2000-06-10,2000-06-24,week1,71.0
216,2000,"Simpson, Jessica",Where You Are,231,Rock,2000-04-01,2000-04-15,week1,73.0
217,2000,M2M,Mirror Mirror,199,Pop,2000-04-01,2000-05-27,week1,87.0
218,2000,Kumbia Kings,U Don't Love Me,230,R&B,2000-03-04,2000-03-18,week1,81.0
219,2000,Joe,Treat Her Like A Lady,252,Rock,2000-08-05,2000-08-19,week1,77.0
220,2000,"Blige, Mary J.",Deep Inside,326,Rock,1999-11-13,2000-01-22,week1,83.0
221,2000,"Price, Kelly",You Should've Told Me,192,Rock,2000-09-23,2000-12-02,week1,91.0
222,2000,Changing Faces,That Other Woman,240,Rock,2000-09-30,2000-10-28,week1,80.0
223,2000,"Wright, Chely",It Was,231,R&B,2000-03-04,2000-04-15,week1,86.0
224,2000,Limp Bizkit,Rollin',244,Rock,2000-11-11,2000-12-09,week1,77.0
225,2000,Hot Boys,I Need A Hot Girl,256,Rap,2000-02-19,2000-03-11,week1,77.0
226,2000,Jay-Z,Do It Again (Put Ya Hands Up),227,Rap,2000-01-15,2000-01-29,week1,95.0
227,2000,"Adkins, Trace",More,185,Country,2000-04-29,2000-06-17,week1,84.0
228,2000,"Dixie Chicks, The",Cold Day In July,312,Country,2000-06-24,2000-08-05,week1,80.0
229,2000,"Price, Kelly",As We Lay,380,Rock,2000-07-15,2000-08-05,week1,82.0
230,2000,DMX,What's My Name,230,Rap,2000-01-15,2000-02-12,week1,98.0
231,2000,"Martin, Ricky",Private Emotion,242,Latin,2000-03-11,2000-03-18,week1,76.0
232,2000,Nine Days,If I Am,258,Rock,2000-12-02,2000-12-02,week1,68.0
233,2000,"Blige, Mary J.",Give Me You,300,Rock,2000-04-15,2000-05-13,week1,97.0
234,2000,Red Hot Chili Peppers,Californication,321,Rock,2000-07-29,2000-10-14,week1,72.0
235,2000,Third Eye Blind,Deep Inside Of You,250,Rock,2000-09-02,2000-10-07,week1,80.0
236,2000,"Brooks, Garth",Do What You Gotta Do,176,Country,2000-02-19,2000-03-18,week1,86.0
237,2000,"Offspring, The",Original Prankster,222,Rock,2000-11-25,2000-12-09,week1,74.0
238,2000,"Anthony, Marc",My Baby You,239,Latin,2000-09-16,2000-10-07,week1,82.0
239,2000,"Houston, Whitney","Same Script, Different Cast",285,Rock,2000-06-17,2000-07-15,week1,71.0
240,2000,D'Angelo,Left & Right,275,R&B,1999-12-11,2000-01-01,week1,93.0
241,2000,"Kravitz, Lenny",I Belong To You,257,Rock,2000-03-25,2000-04-08,week1,78.0
242,2000,"Loveless, Patty",That's The Kind Of Mood I'm In,207,Country,2000-09-16,2000-11-18,week1,98.0
243,2000,Q-Tip,Breathe And Stop,246,Rock,2000-01-22,2000-01-22,week1,71.0
244,2000,"Rimes, LeAnn",Can't Fight The Moonlight,213,Country,2000-09-09,2000-09-16,week1,82.0
245,2000,Lil Wayne,Tha Block Is Hot,253,Rap,1999-12-04,2000-01-08,week1,99.0
246,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),262,Rap,2000-02-26,2000-03-11,week1,87.0
247,2000,"Wallflowers, The",Sleepwalker,209,Rock,2000-10-28,2000-10-28,week1,73.0
248,2000,Drama,"Left, Right, Left",217,Rap,2000-02-12,2000-03-18,week1,100.0
249,2000,Limp Bizkit,N 2 Gether Now,235,Rock,1999-12-04,2000-01-08,week1,94.0
250,2000,Lox,"Ryde or Die, Chick",236,Rap,2000-03-18,2000-03-25,week1,86.0
251,2000,Ying Yang Twins,Whistle While You Twurk,259,Rap,2000-03-18,2000-04-29,week1,95.0
252,2000,"Walker, Clay","Live, Laugh, Love",246,Country,1999-12-04,2000-01-22,week1,95.0
253,2000,Metallica,No Leaf Clover (Live),343,Rock,2000-02-12,2000-03-11,week1,86.0
254,2000,Yankee Grey,Another Nine Minutes,190,Country,2000-04-29,2000-05-20,week1,86.0
255,2000,"Bega, Lou",Tricky Tricky ,203,Rock,2000-01-29,2000-02-05,week1,75.0
256,2000,Big Punisher,It's So Hard,205,Rap,2000-04-22,2000-05-06,week1,96.0
257,2000,"Worley, Darryl",When You Need My Love,215,Country,2000-06-17,2000-09-02,week1,98.0
258,2000,Lil' Kim,How Many Licks?,230,Rap,2000-11-25,2000-12-02,week1,79.0
259,2000,"Clark, Terri",A Little Gasoline,187,Country,2000-12-16,2000-12-16,week1,75.0
260,2000,"Brock, Chad",A Country Boy Can Survive,234,Country,2000-01-01,2000-01-08,week1,93.0
261,2000,"Cagle, Chris",My Love Goes On And On,182,Country,2000-10-21,2000-12-02,week1,99.0
262,2000,"Byrd, Tracy",Put Your Hand In Mine,270,Country,2000-01-29,2000-02-12,week1,81.0
263,2000,Metallica,I Disappear,266,Rock,2000-05-13,2000-06-17,week1,86.0
264,2000,Jay-Z,Hey Papi,220,Rap,2000-08-12,2000-10-07,week1,98.0
265,2000,Fatboy Slim,The Rockafeller Skank,240,Electronica,1999-11-13,2000-01-22,week1,94.0
266,2000,"Levert, Gerald",Mr. Too Damn Good,246,R&B,2000-03-18,2000-04-08,week1,84.0
267,2000,"McKnight, Brian",Stay Or Let It Go,272,Rock,2000-02-26,2000-03-25,week1,95.0
268,2000,"Allan, Gary",Smoke Rings In The Dark,258,Country,2000-01-22,2000-02-05,week1,80.0
269,2000,Ginuwine,The Best Man I Can Be,246,Rock,2000-01-08,2000-03-04,week1,97.0
270,2000,Before Dark,Monica,244,Rock,2000-05-20,2000-06-17,week1,95.0
271,2000,"Estefan, Gloria",No Me Dejes De Querer,205,Rock,2000-06-10,2000-06-10,week1,77.0
272,2000,Stone Temple Pilots,Sour Girl,256,Rock,2000-07-08,2000-07-29,week1,79.0
273,2000,Montgomery Gentry,Daddy Won't Sell The Farm,258,Country,2000-03-04,2000-03-25,week1,87.0
274,2000,"Cyrus, Billy Ray",You Won't Be Lonely Now,225,Country,2000-09-23,2000-11-11,week1,97.0
275,2000,Clark Family Experience,Meanwhile Back At The Ranch,176,Country,2000-11-18,2000-12-16,week1,87.0
276,2000,"Thomas, Carl",Summer Rain,297,Rock,2000-09-23,2000-10-14,week1,82.0
277,2000,"Yearwood, Trisha",Real Live Woman,235,Country,2000-04-01,2000-04-29,week1,85.0
278,2000,Trick Daddy,Shut Up,257,Rap,2000-05-20,2000-06-17,week1,99.0
279,2000,"Moore, Chante",Straight Up,220,Rock,2000-10-28,2000-12-02,week1,98.0
280,2000,Cam'ron,What Means The World To You,278,Rap,2000-10-14,2000-11-18,week1,94.0
281,2000,Juvenile,U Understand,231,Rap,2000-02-05,2000-02-12,week1,85.0
282,2000,"Hollister, Dave",Can't Stay,377,Rock,2000-03-25,2000-03-25,week1,84.0
283,2000,Tamia,Can't Go For That,218,Rock,2000-09-16,2000-09-30,week1,90.0
284,2000,LFO,West Side Story,207,Rock,2000-08-05,2000-08-12,week1,96.0
285,2000,"Paisley, Brad",Me Neither,199,Country,2000-05-13,2000-05-20,week1,87.0
286,2000,"Carter, Torrey",Take That,223,Rock,2000-06-24,2000-07-08,week1,94.0
287,2000,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),195,R&B,2000-09-02,2000-09-09,week1,91.0
