,Company,Location,Salary,Search City,Summary,Title
18,        UT Health Science Center at Houston,"Houston, TX",,Houston,"May assist in developing survey methodologies and questionnaires using acceptable scientific practices, and assist in preparation of presentations for...",Statistician
19,        Cardtronics,"Houston, TX",,Houston,"Manage on-going and ad-hoc statistical and financial data analysis from functional business leaders, and engage IT on the delivery of supporting data....",Sr. Analyst – Data Analysis and Business Reporting
20,        MD Anderson Cancer Center,"Houston, TX",,Houston,"The primary purpose of the Research Statistical Analyst position is to carry out data preparation responsibilities related to cancer clinical trials, develop...",Research Statistical Analyst
21,    Gexa Energy LP,"Houston, TX 77046 (Montrose area)",,Houston,"Ability to code in a statistical analysis toolkit (SAS or R), and ability to pull data using SQL. This role will also participate in the development of economic...",Principal Quantitative Analyst - Strategy & Business Develop...
22,    SearchAccountingJobs,"Houston, TX","$150,000 - $205,000 a year",Houston,"Lead the review and care of relevant model and model validation documentation, complete in depth analysis on large data sets, and formulate analysis and reports...",Quantitative Risk Analyst
23,        Endevis,"Houston, TX",,Houston,"Develop analytics tool using SQL, R, Java, Perl, Python and big data tools. Develop analytics solutions using traditional database technology such as SQL and...",Data Scientist
24,        MD Anderson Cancer Center,"Houston, TX","$45,500 - $82,000 a year",Houston,"The University of Texas MD Anderson Cancer Center in Houston is one of the world's most respected centers focused on cancer patient care, research, education",Research Admin Analyst
25,    Panton,"Houston, TX",,Houston,"Provide subject matter expertise and hands-on delivery of image or video processing, predictive analysis, and advanced data analytics projects....",Junior Data Scientist
26,        MD Anderson Cancer Center,"Houston, TX",,Houston,"Plans, organizes, coordinates, directs and participates in scientific research projects. It is essential that the Research Scientist perform peer reviews of...",Research Scientist- Lymphoma/Myeloma Research
27,        Schlumberger,"Houston, TX",,Houston,"Successful Data Scientists can lead analytic teams, are familiar with statistical and machine learning algorithms including classification, and have good...",Data Scientist
28,        MD Anderson Cancer Center,"Houston, TX",,Houston,"The Group Leader, drug metabolism and pharmacokinetics group will lead all aspects of the drug metabolism and pharmacokinetics optimization of IACS small...",Institute Group Leader - ADME/PK
29,        Baylor College of Medicine,"Houston, TX",,Houston,3 years’ experience in scientific programming with applications to genome research or a Master’s degree in Computer Science or Biological Sciences and 1 year of...,Sr. Bioinformatics Programmer - Human Genome Sequencing Cent...
30,        University of Houston,"Houston, TX",,Houston,Assembles data sets from multiple institutional sources. Compiles and analyzes data for strategic planning and program development....,Institutional Research Analyst
31,    Expero Inc,"Houston, TX",,Houston,"Scientists, traders, engineers. We get better work done for our clients when all our employees are paid well and have excellent benefits, including group health...",Front-End Programmer (React)
32,    EDF Trading North America LLC,"Houston, TX",,Houston,"Rigorousand intuitive understanding of statistics, machine learning, regression modelsand optimization techniques Experiencedeveloping machine learning models...",Data Scientist
33,        Clearpoint,"Houston, TX",$64.50 a day,Houston,Support our Search Science projects using Text Analytics and Machine Learning techniques. Do you LOVE parsing through BIG DATA and synthesizing information into...,SEM Data Scientist | Search Engine Marketing Analyst
34,        Rice University,"Houston, TX",,Houston,"(1) data scientists who can make fundamental contributions to the theory, algorithms, and systems aspects of data science, and (2) scholars who work on emerging...",Data Science Faculty
35,        Wood Mackenzie,"Houston, TX 77057 (Galleria-Uptown area)",,Houston,"We provide insight combined with proprietary data, helping companies identify trends and take advantage of commercial opportunities....","Research Analyst, PCI Fibers"
36,        MD Anderson Cancer Center,"Houston, TX","$66,800 - $100,200 a year",Houston,Certified Medical Technologist (MT) or Medical Laboratory Scientist by the American Society of Clinical Pathologist (ASCP)....,"Supv, Cell Therapy Lab"
37,    CHC,"Houston, TX",,Houston,"Hands-on expertise in analytic programs such as SAS, SQL, R, Tableau, SPSS. Identify, analyse, and interpret trends or patterns in complex data sets....",Quantitative Marketing Analyst
38,        Rice University,"Houston, TX",,Houston,"(1) data scientists who can make fundamental contributions to the theory, algorithms, and systems aspects of data science, and (2) scholars who work on emerging...",Faculty in Data Science
39,        Rice University,"Houston, TX",,Houston,"And Microsoft Access (data joins, data cleaning, data mining) is preferred but not required. Demonstrated ability to manage multiple projects, solve problems,...",Development Research Analyst
40,    HX5,"Houston, TX 77001",,Houston,"Define data hierarchies and capture digital imaging, inventory, and cataloging of small particles. HX5 offers a competitive salary and benefits package to...",Advanced Small Particle Processor
41,    Tessella,"Houston, TX",,Houston,We are seeking talented Data Scientists with software development and analytical skills and a strong academic and/or commercial background....,Data Scientist / Software Developer – Oil and Gas
42,        MD Anderson Cancer Center,"Houston, TX","$46,500 - $83,000 a year",Houston,Analyze data to ensure integrity and efficiency. We are committed to our patients and aim line of sight for combining scientific excellence with industry...,"Institute Assoc Scientist II - Program Biology, ORBIT"
43,        BOEING,"Houston, TX",,Houston,"Skilled scientists and thinkers. Manage and monitor supplier performance, capability, capacity and business health and report status, issues and concerns....",Senior Supply Base Management Specialist
44,    Oscar Technology,"Houston, TX",,Houston,"Experience or education in Big Data, Data Mining, Machine Learning, Predictive/Prescriptive Analytics, Optimization, Exploratory Analysis & Visualization....",Data Scientist
45,        Halliburton,"Houston, TX 77032",,Houston,"Perform data mining and analytics to support ongoing continuous risk monitoring and risk assessments of operational data to recognize patterns and trends,...",Predictive Modeling Data Scientist
46,        Baylor College of Medicine,"Houston, TX","$54,590 a year",Houston,Five years of clinical research or laboratory experience. Bachelor's degree in basic science or other relative scientific field....,Senior Research Quality Assurance Analyst
47,        University of Houston,"Houston, TX",,Houston,"Hand-on experience with scientific code development and optimization based on GPU ; The successful applicant should have the ability to work in a team oriented,...",Research Scientist - HPC Application Specialist
48,        Avanade,"Houston, TX",,Houston,"About the Data Scientist role. Microsoft SQL Server Data Science or Analytics (machine learning, analytical models, MAHOUT, etc.)....",Data Scientist Director - East
49,    Panton,"Houston, TX",,Houston,"In this role, you will work closely with software engineers and data scientists in the R&D engineering group....",High Performance Computing Developer (HPC)
50,    Baylor Miraca Genetics Laboratories LLC,"Houston, TX",,Houston,Work with clinical team to validate and transfer tests to clinical diagnostic workflow. This individual will utilize established mathematical and scientific...,Research & Development Scientist III
51,        Halliburton,"Houston, TX 77032",,Houston,"Under general direction from Senior Scientists and the Team Leader, applies physics theories, principles, and practices to develop technology for nuclear...",Principal Nuclear Scientist
52,        The Aerospace Corporation,"Houston, TX 77058 (Pasadena area)",,Houston,Our state-of-the-art laboratory facilities are staffed by some of the leading scientists in the world. The Aerospace Corporation has provided independent...,Software Developer/System Architect
53,        Baylor College of Medicine,"Houston, TX","$70,000 - $91,000 a year",Houston,3 years’ experience in scientific programming with applications to genome research or a Master’s degree in Computer Science or Biological Sciences and 1 year of...,Sr. Bioinformatics Programmer
54,        Baylor College of Medicine,"Houston, TX","$83,000 - $102,000 a year",Houston,"PM, LIMS, QC, IT, Clinical feature requests. In this role, the Lead Programmer will work with internal and external collaborators to support the publication and...",Lead Bioinformatics Programmer
55,        UT Health Science Center at Houston,"Houston, TX",,Houston,"Results and findings are submitted through written research papers, public presentation at local or national meetings, or personal exchanges with faculty member...",Research Scientist Sr.
56,        Baylor College of Medicine,"Houston, TX","$65,000 a year",Houston,"Using data from Principal Investigators and study coordinators, this position determines whether proposed clinical projects are a qualifying clinical trial as...",Research Financial Analyst II
57,"    GeoControl Systems, Inc.","Houston, TX",,Houston,"Data collection, reduction and analysis. Experience collecting data on test subjects. Must remain current in this area through the study of pertinent literature...",Research Scientist
58,        Houston Methodist,"Houston, TX 77030 (Medical area)",,Houston,"Analyzes data and interprets data. Evidence of teaching, patented or licensed discoveries, extramural recognition, institutional service, collaborative and...",Scientist
59,"    AMD Global, LLC","Houston, TX",,Houston,This position is responsible for evaluating potential sites for future projects and ensure the continued fiscal health of the company through appropriate...,Marketing and Research Analyst
60,        Baylor College of Medicine,"Houston, TX","$72,000 a year",Houston,"Five years experience in biomedical research compliance, research, patient relations, health care, medical/academic setting, or communications....",Senior Research Policy Analyst
61,        University of Houston,"Houston, TX",,Houston,Two Postdoctoral / Research Scientist Positions Available. While the current focus is to solve problems in biology and medicine with novel physics and...,Postdoctoral Fellow/Research Scientist Positions in Imaging
62,        MD Anderson Cancer Center,"Houston, TX",,Houston,"Establishing Project Technology Control Plans; Coordinating with faculty to review allegations, identify and collect relevant evidence, and prepare research...",Research Admin Analyst-Export Controls
63,        MD Anderson Cancer Center,"Houston, TX",,Houston,"Manage genetic research projects Plan, organize, direct scientific research projects involving genetic analysis of participant samples from clinical smoking...",Behavioral Research Scientist
64,        Lonza,"Houston, TX",,Houston,"All personnel should practice good sanitation and health habits. Develop, communicate and implement high-quality, cGMP-suitable assay transfer strategy based on...",Analytical Development Scientist III
65,"    National Audubon Society, Inc.","Clear Lake Shores, TX",,Houston,"Familiar with research, scientific methodology, data collection, and organizing data. This internship will assist the TERN Coordinator with outreach and...",Coastal Program Intern- Citizen Science
66,    Rekruiters,"Houston, TX 77006 (Montrose area)","$250,000 a year",Houston,Working with our research scientists to deliver their algorithms and models. Analyzing system performance/trading data;...,C++ Software Engineer
67,        MD Anderson Cancer Center,"Houston, TX",,Houston,The primary purpose of the Clinical Research Analyst-Quality Assurance position is to ensure the billing information in the Electronic Health Record (EHR)...,Clinical Research Analyst - Quality Assurance
68,        Houston Methodist,"Houston, TX 77030 (Medical area)",,Houston,Analyses data (High complexity). Reviews scientific literature. Work in animal research facility requires health evaluation and approval by TMH Employee Health...,Senior Research Associate
69,        PrideStaff,"Houston, TX 77057 (Galleria-Uptown area)",,Houston,Coordinate with scientists and engineers to obtain needed procurement sources for critical just in time supply availability....,Purchasing and Inventory Specialist
70,        Lonza,"Houston, TX",,Houston,Comfortable working in cross-functional project teams in a highly matrixed fast-paced clinical grade manufacturing organization....,"Process Development Scientist, III"
71,        MD Anderson Cancer Center,"Houston, TX",,Houston,Ensure that the relevant clinical data is collected at designated stages in the treatment process. Identify and implement strategies to enhance collaboration...,Clinical Research Scientist in ICT
72,    alliantgroup,"Houston, TX",,Houston,"As a Consultant, you will work in a team environment alongside some of the best in the business including attorneys, accountants, engineers, and scientists to...",Engineering Consultant
73,        The Aerospace Corporation,"Houston, TX 77058 (Pasadena area)",,Houston,Our state-of-the-art laboratory facilities are staffed by some of the leading scientists in the world. The Aerospace Corporation has provided independent...,Communications Systems Engineer
74,    Nationwide Laboratory Partners LLC,"Houston, TX",,Houston,"Experience reviewing data required. Bachelor’s degree in a chemical, physical, biological or clinical laboratory science, or medical technology from an...",Certifying Scientist / LC-MS Chemist
75,        Caresource,"Houston, TX",,Houston,"Whether that be optimization of your existing internal services, creation or transformation of your shared services center or global in-house center (GIC),...",Special Project Manager/Green Building Design
76,        Rice University,"Houston, TX",,Houston,"Strong understanding of data mining and data management tools and techniques; In 2014, Rice launched a data warehouse project in order to bring together widely...",Corporate Data and Research Analyst
77,        CEVA Logistics,"Houston, TX",,Houston,"Negotiate, implement, manage and administer multiple corporate-wide purchasing programs including; Logistics, one of the world’s leading supply chain companies,...",Sr Market Research Analyst
78,    Panton,"Houston, TX",,Houston,"If you are a creative, motivated, and passionate iOS Mobile Application Developer who share this ethos, this is your opportunity to join a highly talented team...",iOS Mobile Application Developer
79,    Panton,"Houston, TX",,Houston,"If you are a creative, motivated, and passionate web application developer who share this ethos, this is your opportunity to join a highly talented team of...",Full Stack Web Developer
80,        Harris Corporation,"Houston, TX 77042 (West Houston area)",,Houston,"Harris CapRock is part of Harris Corporation with approximately $8 billion in annual revenue and about 23,000 employees — including 9,000 engineers and...",Product Manager
81,        Baylor College of Medicine,"Houston, TX","$72,120 a year",Houston,"The candidate will be required to interact with other staff scientists, informaticians, and collaborators. The Genome Assembly and Analysis group is responsible...",Bioinformatics Programmer II
82,        UT Health Science Center at Houston,"Houston, TX",,Houston,"2.Plans and performs quantitative and qualitative research procedures in various areas of biology, chemistry, and other biomedical, or related scientific areas....",Research Scientist
83,        University of Houston,"Houston, TX",,Houston,"At least 3 years experience conducting human health and performance research, leading human research studies and collecting physiological data;...",Sr. Researcher Nat Phys Science (Extravehicular Activity (EV...
84,    NX Prenatal Inc.,"Bellaire, TX 77401",,Houston,"Ability to initiate and maintain scientific collaborations with academic and industrial research groups, as well as to interact effectively with internal...",Principal Scientist - Assay Development
85,        CDM Smith,"Houston, TX 77056 (Galleria-Uptown area)",,Houston,Coordinating the collection of project data Performing necessary project research Devising new approaches to problems encountered Coordinates various technical...,Planner 4-Transportation
86,        MD Anderson Cancer Center,"Houston, TX",,Houston,Must be able to read and comprehend scientific literature relevant to ongoing research to maintain a current understanding of the field and be able to introduce...,Research Assistant II- Lymphoma/Myeloma Research
87,    iCell Kealex Therapeutics,"Houston, TX 77030 (Medical area)",,Houston,Outstanding oral communication and scientific writing skills are a requirement of the position. Level scientist to join its fast-paced R&D team in TMC....,Scientist I
88,"    Sycamore Life Sciences, LLC","Houston, TX",,Houston,"Ability to perform basic statistical analysis and data presentation. Strong computer skills for documentation and data management (Excel, Word, Powerpoint, etc....",Genomics Researcher/Intern
89,        Baker Hughes,"Houston, TX 77040",,Houston,"Apply sophisticated scientific or engineering understanding to research or development problems, ideas or projects....",Polymer Scientist - Houston TX
90,    Panton,"Houston, TX",,Houston,"If you are a creative, motivated, and passionate web application developer who share this ethos, this is your opportunity to join a highly talented team of...",Web Application Developer
91,        MD Anderson Cancer Center,"Houston, TX",,Houston,"As part of the MD Anderson Cancer Center Moon Shot initiative, we have created an exceptional, integrated environment where industry seasoned scientists work...",Institute Research Scientist -Immuno-oncology
92,        Rice University,"Houston, TX",,Houston,"And Microsoft Access (data joins, data cleaning, data mining) is preferred but not required. Demonstrated ability to manage multiple projects, competing...",Senior Development Research Analyst
93,        MD Anderson Cancer Center,"Houston, TX",,Houston,"Interact with clinicians, scientists and laboratory researchers to gather and relay information. Independently research and analyze highly technical subject...",Senior Technical Writer in Breast Medical Oncology
94,        MD Anderson Cancer Center,"Houston, TX",,Houston,"Management of associate scientists, strong scientific leadership and effective. The CCCT is a ground-breaking translational research team that partners with...",Institute Research Scientist - Translational Biomarker Disco...
95,    UL LLC,"Houston, TX",,Houston,"Ability to collaborate with peers, and work directly with Research Scientists and other team members in order to complete a project from start to finish....",Research Engineer - Wind Modeling
96,        Schlumberger,"Sugar Land, TX 77478",,Houston,Data Products Software Developer. Use the filters below to refine your search for current openings....,Cloud Software Engineer
97,    Arundo Analytics,"Houston, TX",,Houston,Demonstrated experience in working with subject matter experts (as part of a cross functional or client/consultant team) to clean or use data....,Senior Analyst/ Data engineer
98,        Axius Technologies,"Houston, TX",,Houston,"In depth knowledge of Advanced Analytics like predictive, forecasting, descriptive modeling, Machine Learning, deep learning... Chief Data Scientist :....",Chief Data Scientist
99,        Texas Department of Public Safety,"Houston, TX","$3,616 - $5,433 a month",Houston,Salary is contingent upon qualifications and is subject to salary administration and budgetary restrictions. Ability to present scientific data and the results...,"Forensic Scientist I-III(DNA Analysis), LES-Houston"
100,    EnDevor,"Houston, TX",,Houston,"Proven scientific and subject matter expert. Lead the experimental design, data analysis, data interpretation, trouble shooting and provide scientific input to...",Director QC Analytical Services
101,        CH2M,"Houston, TX",,Houston,"As an Environmental Engineer, you will support commercial and federal clients to meet their environmental project goals and objectives....","Environmental Engineer/Scientist - Houston, TX"
102,    alliantgroup,"Houston, TX",,Houston,"Ability to effectively manage multiple tasks in a fast paced environment. As a Science Consultant, you will work in a team environment alongside some of the...",Science Consultant
103,    Harnham,"Houston, TX",,Houston,"Deep understanding of C++ inheritance, polymorphism, templates and design patterns. The Quantitative Analytics team is a global team located on four of this oil...",Senior Quantitative Analyst
104,        AIG,"Houston, TX",,Houston,"AIG is seeking a Big Data Hadoop an ETL developer to become part of a team in designing, developing, and deploying ETL solutions in a big data platform for the...",Associate Director Application Development
105,        Houston Methodist,"Houston, TX 77030 (Medical area)",,Houston,"OR as a Clinical Laboratory Scientist – CLS (or categorical certification) by NCA,. Houston Methodist is seeking an experienced clinical laboratory specialist...",HLA Quality Assurance Project Specialist
106,        Aramco Services Company,"Houston, TX 77084",,Houston,Assist Science Specialists and Senior Scientists in reviewing and interpreting analytical data. Record data and experiments through group-specific data...,Lab Tech Specialist (Scale and Corrosion) (306158)
107,        Houston Rockets,"Houston, TX",,Houston,"Experience with statistics and commonly used statistics packages, machine learning, econometrics, data visualization, and basketball analytics is desirable....",Basketball Operations Analyst
108,    Oscar Technology,"Houston, TX",,Houston,"Database Engineer/Scientist – R, Perl, Spark, UNIX, C++, Java, SQL, ORACLE – Houston – Competitive Salary + Benefits*. R, Perl, and Spark....",Database Engineer/Scientist
109,        Addison Group,"Houston, TX",,Houston,"The Market Research Analyst monitors website analytics. Google Analytics/Adwords certifications, a plus for applying Market Research Analysts....",Market Research Analyst
110,        Honeywell,"Phoenix, AZ",,Phoenix,Work closely with data scientists and product managers to understand their data requirements for existing and future projects on data analytics applications....,Big Data Architect
111,        CBRE,"Phoenix, AZ",,Phoenix,"Ability to prioritize, and manage multiple tasks, and meet stringent deadlines. Provides pertinent market analytics, submarket and location overview information...",Senior Business Analyst (Research)
112,"    Audible, Inc.",United States,,Phoenix,Do you enjoy working with Data Scientists to write software that can reshape the Audible business? You enjoy building and maintaining diverse software systems...,"Software Development Engineer, Data Science- Relocation Oppo..."
113,        Honeywell,"Phoenix, AZ",,Phoenix,"Developing overall strategy for Big Data Analytics, including Analytics Tiger. Product Data Utilization:. Strong in data interpretation....",Data Scientist II
114,        Intel,"Phoenix, AZ 85002 (Central City area)",,Phoenix,"Performing Design of Experiment (DOE) verification and validation primarily on the test diagnostics and hardware by evaluating potential root causes, (through...",Application Engineer / Data Scientist
115,    Paramind Consultancy Services Inc,"Scottsdale, AZ",,Phoenix,Data Scientist Bilingüe*. Paramind Consultancy Services es una compañía de Servicios Globales de Tecnología de la Información (TI) que ofrece una amplia gama de...,Data Scientist - Bilingüe
116,    Career Evolutions,"Phoenix, AZ","$150,000 a year",Phoenix,"Act as the technical point of contact towards data scientists and business analyst, regarding operational aspects of our Corporate Data Platform....",Data Services Engineer
117,    The Red Flag Group,"Phoenix, AZ",,Phoenix,This position will be part of a team who will be developing the requirements and building our uniquely developed analytics based solutions with the use of...,Data Scientist
118,    Mobivity Holdings Corp.,"Chandler, AZ 85225",,Phoenix,"Manage project tasks, work plans / timelines and deliverables related to analytics. Data extraction, analysis and QC using SAS, SQL, Big Query or other...",Marketing Analyst/Data Scientist
119,        Vixxo,"Scottsdale, AZ",,Phoenix,"As a member of the Product Development team, the Data Scientist will create, optimize and utilize multiple sets of data while applying strong data mining, data...",Data Scientist
120,        Intel,"Phoenix, AZ 85002 (Central City area)",,Phoenix,"Exploratory data analysis, data mining, Machine learning algorithms. 3 months of experience with Data mining and Big Data....",Data Analysis & Statistical Methods Intern 2017
121,        Maricopa County Community College District,"Phoenix, AZ","$50,958 - $60,512 a year",Phoenix,All current MCCCD employees must be logged into HCM Self Service when applying for jobs. Two (2) or more years of experience with using database query software...,Institutional Research Analyst (Specially Funded/Open Until...
122,        State of Arizona,"Phoenix, AZ 85012 (Alhambra area)",,Phoenix,"Data Statistical Specialist VI. Under the general direction of the Operations and Research Manager, the Specialist VI is responsible for compiling and analyzing...",DATA STATISTICAL SPECIALIST
123,"    Solidyn Solutions, Inc",United States,,Phoenix,"Certification in Cloudera data technologies (CCAH, CCP Data Scientist, CCA Spark and Hadoop developer). Prior experience designing and implementing software...",Software Engineers - Data Analytics Engineer
124,    Freestar,"Scottsdale, AZ",,Phoenix,5+ years of experience managing/leading a team of data scientists with a track record of overseeing multiple data science and machine learning projects at all...,Director of Data Science
125,        Saudi Aramco,United States,,Phoenix,"Petroleum engineers and earth scientists in E&P work with cutting-edge technology to manage and produce these reserves, including 3D visualization, reservoir...",Unconventional Simulation Engineer
126,    Freestar,"Scottsdale, AZ",,Phoenix,5+ years of experience managing/leading a team of data scientists with a track record of overseeing multiple data science and machine learning projects at all...,Director of Data Science
127,        Arizona Supreme Court,"Phoenix, AZ","$56,677 a year",Phoenix,"Data Statistical Specialist VI. Under the general direction of the Operations and Research Manager, the Specialist VI is responsible for compiling and analyzing...",Data Statistical Specialist (Job 2105)
128,        Carvana,"Phoenix, AZ",,Phoenix,Automate (or spec out work for dedicated developers and data scientists to automate) marketing processes including incorporation of data into real-time decision...,Quantitative Marketing Analyst
129,    SearchBankingJobs,"Phoenix, AZ","$150,000 - $205,000 a year",Phoenix,"Lead the review and care of relevant model and model validation documentation, complete in depth analysis on large data sets, and formulate analysis and reports...",Quantitative Analyst Manager
130,        Arizona Health Care Cost Containment System,"Phoenix, AZ","$65,000 - $72,000 a year",Phoenix,Work with and manage staff in the evaluation of multiple data sources and data feeds within AHCCCS and ensure compliance with expectations and timelines related...,DATA ANALYSIS AND RESEARCH MANAGER
131,        Honeywell,"Phoenix, AZ",,Phoenix,Work closely with data scientists and product managers to understand their data requirements for existing and future projects on data analytics applications....,Big Data Architect
132,    Aescentia,"Phoenix, AZ",,Phoenix,"Work with data scientists to provide data modeling, mining, pattern analysis, data visualization and machine learning solutions to fulfill customer requirements...",Analytics Solutions Leader
133,    Career Evolutions,"Phoenix, AZ","$150,000 a year",Phoenix,"As member of the CIO Office, you will ensure that the Corporate Data Platform fulfills the needs of data scientists, developers, and business analysts from the...",Data Architect
134,        UnitedHealth Group,"Phoenix, AZ 85022 (North Mountain area)",,Phoenix,"So when it comes to how we use the world's large accumulation of health-related information, or guide health and lifestyle choices or manage pharmacy benefits...","Sr Business Analyst, Medicare Claims Data Analysis - Phoenix..."
135,        Lifetime Fitness,"Tempe, AZ",,Phoenix,Experience tracking statistical data for basketball games. Track all relevant statistics during games. Work closely with League Coordinator to ensure member...,Ultimate Hoops Statistician
136,        Saudi Aramco,United States,,Phoenix,"Petroleum engineers and earth scientists in E&P work with cutting-edge technology to manage and produce these reserves, including 3D visualization, reservoir...",Business Systems Analyst - Unconventional Resources
137,    Pryor Associates - Pauline Reimer,United States,,Phoenix,"Perform quantitative analyses on trend data to determine impact of trends on relevant insurance parameters, including loss frequency trends or exposure growth....",Insurance Data Analytics Senior Modeler - PR9204B
138,    Kudelski SA,"Phoenix, AZ",,Phoenix,"Act as the technical point of contact towards data scientists and business analyst, regarding operational aspects of our Corporate Data Platform....",Data Services Engineer
139,        Axius Technologies,"Phoenix, AZ",,Phoenix,Experience in Applied Machine Learning. Predictive analytics and forecasting models for Operational Intelligence and Anomaly Detection....,Machine Learning professional
140,        Arizona State University,"Tempe, AZ","$47,476 - $60,000 a year",Phoenix,"Maintains awareness of current trends in data collection and organization, data preservation, and numeric data analysis by participation in appropriate...",Data Analysis Specialist
141,        State of Arizona,"Phoenix, AZ 85012 (Alhambra area)","$40,000 - $50,000 a year",Phoenix,And serves as a subject matter expert supporting the manager by performing review of work of lower level scientist and peer review....,COMPLIANCE OFFICER
142,        PetSmart,"Phoenix, AZ",,Phoenix,Transforms and aggregates data to include rapid data discovery to predictive analytics based on a foundation of delivering relevant and timely information to...,Data Scientist
143,        Mayo Clinic,"Phoenix, AZ 85054 (Desert View area)",,Phoenix,Research scientists also identify and evaluate candidates for open positions and mentor/train staff in development of technical and project development skills....,Research Fellow - Precision Neurotherapeutics Lab Job
144,        Honeywell,"Phoenix, AZ",,Phoenix,"Manage project teams, including setting the data architecture and analytics vision and roadmap, being the primary contact for technical communications to...",Chief Data Science Engineer
145,    Systems Software Solutions Inc.,"Phoenix, AZ",,Phoenix,Experience in Applied Machine Learning. Machine Learning professional. Predictive analytics and forecasting models for Operational Intelligence and Anomaly...,"Machine Learning professional (Hadoop/Spark, Apache, Python)"
146,    Smart Electric Power Alliance,"Mesa, AZ","$55,000 - $90,000 a year",Phoenix,Serve as the lead data analyst for the organization and provide data visualization recommendations. OR eight or more years of experience in a position requiring...,Research Analyst/Senior Research Analyst
147,        GoDaddy,"Scottsdale, AZ",,Phoenix,"Working with Hadoop and our Big Data ecosystem, the Senior Manager, Data Science will utilize sophisticated statistical analysis and machine learning to work...","Senior Manager, Data Science"
148,        Abacus service,"Phoenix, AZ",,Phoenix,"Hello - Below is a new request for our Grants Management ESA (1). The supervisor will want to review resumes, we will also need the bill rate. This request",Research Analyst
149,        SRP,"Phoenix, AZ",,Phoenix,"Provides internal clients with in-depth analysis, trends and insights based on research data. SRP's success is rooted in our employees' happiness, health and...",Analyst Market Research Senior
150,    Kudelski SA,"Phoenix, AZ",,Phoenix,"As member of the CIO Office, he/she ensures that our Corporate Data Platform fullfils the needs of data scientists, developers, and business analysts from the...",Data Architect
151,    Arizona State University,"Tempe, AZ",,Phoenix,"Advise customers on standard tools and/or combinations of tools available, available for purchase or to be developed....","Research Computing, Operations Support Analyst"
152,        L-3 Communications,"Tempe, AZ",,Phoenix,"This individual will also be proficient in programming skills, SQL knowledge and advanced data mining methodologies....",Senior Data Scientist
